Owner:,UNGER DAVID
Cname:,MFRI INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,16
2004,Feb,16
2004,Mar,40
2004,Apr,0
2004,May,42
2004,Jun,14
2004,Jul,29
2004,Aug,40
2004,Sep,13
2004,Oct,39
2004,Nov,40
2004,Dec,12
2005,Jan,73
2005,Feb,55
2005,Mar,37
2005,Apr,11
2005,May,19
2005,Jun,10
2005,Jul,0
2005,Aug,27
2005,Sep,17
2005,Oct,32
2005,Nov,32
2005,Dec,8
2006,Jan,14
2006,Feb,35
2006,Mar,57
2006,Apr,13
2006,May,19
2006,Jun,13
2006,Jul,26
2006,Aug,23
2006,Sep,12
2006,Oct,43
2006,Nov,27
2006,Dec,16
2007,Jan,28
2007,Feb,20
2007,Mar,18
2007,Apr,23
2007,May,25
2007,Jun,35
2007,Jul,25
2007,Aug,28
2007,Sep,16
2007,Oct,18
2007,Nov,22
2007,Dec,15
2008,Jan,16
2008,Feb,17
2008,Mar,20
2008,Apr,23
2008,May,7
2008,Jun,7
2008,Jul,7
2008,Aug,23
2008,Sep,15
2008,Oct,36
2008,Nov,19
2008,Dec,21
2009,Jan,100
2009,Feb,27
2009,Mar,22
2009,Apr,14
2009,May,8
2009,Jun,11
2009,Jul,14
2009,Aug,14
2009,Sep,5
2009,Oct,20
2009,Nov,13
2009,Dec,18
2010,Jan,10
2010,Feb,15
2010,Mar,20
2010,Apr,19
2010,May,7
2010,Jun,17
2010,Jul,13
2010,Aug,19
2010,Sep,18
2010,Oct,16
2010,Nov,13
2010,Dec,8
2011,Jan,9
2011,Feb,23
2011,Mar,13
2011,Apr,14
2011,May,9
2011,Jun,12
2011,Jul,18
2011,Aug,17
2011,Sep,10
2011,Oct,14
2011,Nov,8
2011,Dec,15
2012,Jan,17
2012,Feb,16
2012,Mar,18
2012,Apr,12
2012,May,14
2012,Jun,18
2012,Jul,14
2012,Aug,17
2012,Sep,12
2012,Oct,19
2012,Nov,9
2012,Dec,17
2013,Jan,20
2013,Feb,18
2013,Mar,13
2013,Apr,12
2013,May,10
2013,Jun,15
2013,Jul,19
2013,Aug,14
2013,Sep,13
2013,Oct,14
2013,Nov,14
2013,Dec,14
2014,Jan,18
2014,Feb,10
2014,Mar,17
2014,Apr,12
2014,May,13
2014,Jun,21
2014,Jul,14
2014,Aug,15
2014,Sep,10
2014,Oct,11
2014,Nov,18
2014,Dec,12
2015,Jan,18
2015,Feb,20
2015,Mar,19
2015,Apr,18
2015,May,17
2015,Jun,23
2015,Jul,13
2015,Aug,18
2015,Sep,7
2015,Oct,9
2015,Nov,6
2015,Dec,10
2016,Jan,15
2016,Feb,8
2016,Mar,18
2016,Apr,14
2016,May,10
2016,Jun,12
2016,Jul,17
2016,Aug,8
2016,Sep,7
2016,Oct,11
2016,Nov,7
2016,Dec,11
2017,Jan,12
2017,Feb,9
2017,Mar,5
2017,Apr,13
2017,May,9
2017,Jun,5
2017,Jul,12
2017,Aug,4
2017,Sep,5
2017,Oct,10
2017,Nov,8
2017,Dec,7
2018,Jan,12
2018,Feb,5
2018,Mar,8
2018,Apr,5
2018,May,5
2018,Jun,1
2018,Jul,12
2018,Aug,7
2018,Sep,6
2018,Oct,13
2018,Nov,7
2018,Dec,7
2019,Jan,12
2019,Feb,8
2019,Mar,14
2019,Apr,5
2019,May,6
2019,Jun,4
2019,Jul,8
2019,Aug,8
2019,Sep,5
2019,Oct,6
2019,Nov,5
2019,Dec,7
2020,Jan,4
2020,Feb,4
2020,Mar,3
2020,Apr,6
2020,May,6
2020,Jun,5
2020,Jul,4
2020,Aug,4
2020,Sep,3
2020,Oct,7
2020,Nov,3
2020,Dec,7
2021,Jan,9
2021,Feb,6
2021,Mar,2
2021,Apr,6
2021,May,6
2021,Jun,2
2021,Jul,3
2021,Aug,4
2021,Sep,8
2021,Oct,7
2021,Nov,6
2021,Dec,9
2022,Jan,7
2022,Feb,6
2022,Mar,13
