Owner:,ZHANG JIE
Cname:,ECOCHILD INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,73
2004,Mar,23
2004,Apr,71
2004,May,65
2004,Jun,100
2004,Jul,51
2004,Aug,31
2004,Sep,15
2004,Oct,0
2004,Nov,47
2004,Dec,42
2005,Jan,36
2005,Feb,13
2005,Mar,33
2005,Apr,12
2005,May,22
2005,Jun,23
2005,Jul,11
2005,Aug,42
2005,Sep,29
2005,Oct,9
2005,Nov,38
2005,Dec,36
2006,Jan,40
2006,Feb,57
2006,Mar,29
2006,Apr,23
2006,May,51
2006,Jun,54
2006,Jul,15
2006,Aug,7
2006,Sep,7
2006,Oct,13
2006,Nov,19
2006,Dec,38
2007,Jan,11
2007,Feb,47
2007,Mar,21
2007,Apr,32
2007,May,19
2007,Jun,10
2007,Jul,24
2007,Aug,23
2007,Sep,14
2007,Oct,33
2007,Nov,21
2007,Dec,26
2008,Jan,19
2008,Feb,28
2008,Mar,12
2008,Apr,30
2008,May,31
2008,Jun,53
2008,Jul,31
2008,Aug,38
2008,Sep,21
2008,Oct,13
2008,Nov,18
2008,Dec,28
2009,Jan,20
2009,Feb,25
2009,Mar,25
2009,Apr,26
2009,May,26
2009,Jun,16
2009,Jul,23
2009,Aug,16
2009,Sep,25
2009,Oct,18
2009,Nov,24
2009,Dec,12
2010,Jan,20
2010,Feb,28
2010,Mar,44
2010,Apr,27
2010,May,28
2010,Jun,23
2010,Jul,20
2010,Aug,12
2010,Sep,25
2010,Oct,20
2010,Nov,37
2010,Dec,24
2011,Jan,27
2011,Feb,31
2011,Mar,16
2011,Apr,22
2011,May,13
2011,Jun,15
2011,Jul,2
2011,Aug,9
2011,Sep,28
2011,Oct,16
2011,Nov,15
2011,Dec,16
2012,Jan,15
2012,Feb,16
2012,Mar,24
2012,Apr,26
2012,May,14
2012,Jun,16
2012,Jul,22
2012,Aug,27
2012,Sep,26
2012,Oct,23
2012,Nov,28
2012,Dec,14
2013,Jan,25
2013,Feb,11
2013,Mar,21
2013,Apr,21
2013,May,23
2013,Jun,17
2013,Jul,13
2013,Aug,20
2013,Sep,14
2013,Oct,21
2013,Nov,21
2013,Dec,11
2014,Jan,22
2014,Feb,24
2014,Mar,17
2014,Apr,21
2014,May,29
2014,Jun,24
2014,Jul,18
2014,Aug,7
2014,Sep,17
2014,Oct,23
2014,Nov,25
2014,Dec,22
2015,Jan,18
2015,Feb,13
2015,Mar,20
2015,Apr,21
2015,May,21
2015,Jun,16
2015,Jul,10
2015,Aug,13
2015,Sep,25
2015,Oct,14
2015,Nov,19
2015,Dec,12
2016,Jan,22
2016,Feb,18
2016,Mar,17
2016,Apr,15
2016,May,19
2016,Jun,20
2016,Jul,11
2016,Aug,16
2016,Sep,16
2016,Oct,14
2016,Nov,20
2016,Dec,15
2017,Jan,18
2017,Feb,13
2017,Mar,20
2017,Apr,22
2017,May,24
2017,Jun,18
2017,Jul,11
2017,Aug,14
2017,Sep,18
2017,Oct,23
2017,Nov,9
2017,Dec,7
2018,Jan,9
2018,Feb,17
2018,Mar,10
2018,Apr,15
2018,May,11
2018,Jun,15
2018,Jul,14
2018,Aug,14
2018,Sep,13
2018,Oct,7
2018,Nov,13
2018,Dec,13
2019,Jan,16
2019,Feb,18
2019,Mar,17
2019,Apr,6
2019,May,22
2019,Jun,15
2019,Jul,14
2019,Aug,13
2019,Sep,20
2019,Oct,11
2019,Nov,7
2019,Dec,10
2020,Jan,14
2020,Feb,12
2020,Mar,9
2020,Apr,14
2020,May,13
2020,Jun,10
2020,Jul,10
2020,Aug,13
2020,Sep,11
2020,Oct,9
2020,Nov,14
2020,Dec,6
2021,Jan,14
2021,Feb,12
2021,Mar,8
2021,Apr,9
2021,May,14
2021,Jun,10
2021,Jul,10
2021,Aug,11
2021,Sep,9
2021,Oct,7
2021,Nov,16
2021,Dec,10
2022,Jan,16
2022,Feb,11
2022,Mar,8
