Owner:,CASSIDY KEVIN
Cname:,OPTIONABLE INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,62
2004,Mar,0
2004,Apr,0
2004,May,55
2004,Jun,28
2004,Jul,58
2004,Aug,26
2004,Sep,75
2004,Oct,26
2004,Nov,26
2004,Dec,24
2005,Jan,41
2005,Feb,22
2005,Mar,0
2005,Apr,42
2005,May,57
2005,Jun,19
2005,Jul,96
2005,Aug,18
2005,Sep,100
2005,Oct,31
2005,Nov,64
2005,Dec,30
2006,Jan,14
2006,Feb,28
2006,Mar,75
2006,Apr,26
2006,May,49
2006,Jun,39
2006,Jul,64
2006,Aug,46
2006,Sep,23
2006,Oct,21
2006,Nov,42
2006,Dec,21
2007,Jan,9
2007,Feb,20
2007,Mar,27
2007,Apr,27
2007,May,83
2007,Jun,35
2007,Jul,33
2007,Aug,16
2007,Sep,55
2007,Oct,21
2007,Nov,28
2007,Dec,52
2008,Jan,32
2008,Feb,20
2008,Mar,52
2008,Apr,64
2008,May,13
2008,Jun,21
2008,Jul,33
2008,Aug,39
2008,Sep,54
2008,Oct,39
2008,Nov,25
2008,Dec,54
2009,Jan,34
2009,Feb,24
2009,Mar,59
2009,Apr,22
2009,May,22
2009,Jun,22
2009,Jul,44
2009,Aug,43
2009,Sep,52
2009,Oct,40
2009,Nov,26
2009,Dec,15
2010,Jan,29
2010,Feb,15
2010,Mar,22
2010,Apr,51
2010,May,39
2010,Jun,44
2010,Jul,21
2010,Aug,16
2010,Sep,39
2010,Oct,27
2010,Nov,72
2010,Dec,23
2011,Jan,38
2011,Feb,41
2011,Mar,29
2011,Apr,54
2011,May,29
2011,Jun,24
2011,Jul,18
2011,Aug,44
2011,Sep,35
2011,Oct,33
2011,Nov,26
2011,Dec,25
2012,Jan,28
2012,Feb,26
2012,Mar,27
2012,Apr,41
2012,May,27
2012,Jun,26
2012,Jul,21
2012,Aug,38
2012,Sep,25
2012,Oct,29
2012,Nov,26
2012,Dec,41
2013,Jan,47
2013,Feb,29
2013,Mar,39
2013,Apr,23
2013,May,31
2013,Jun,20
2013,Jul,41
2013,Aug,42
2013,Sep,42
2013,Oct,25
2013,Nov,25
2013,Dec,17
2014,Jan,30
2014,Feb,43
2014,Mar,42
2014,Apr,53
2014,May,29
2014,Jun,35
2014,Jul,25
2014,Aug,52
2014,Sep,36
2014,Oct,34
2014,Nov,33
2014,Dec,28
2015,Jan,33
2015,Feb,28
2015,Mar,33
2015,Apr,44
2015,May,37
2015,Jun,45
2015,Jul,39
2015,Aug,34
2015,Sep,34
2015,Oct,24
2015,Nov,29
2015,Dec,25
2016,Jan,22
2016,Feb,36
2016,Mar,37
2016,Apr,28
2016,May,22
2016,Jun,40
2016,Jul,25
2016,Aug,27
2016,Sep,18
2016,Oct,28
2016,Nov,25
2016,Dec,19
2017,Jan,13
2017,Feb,30
2017,Mar,33
2017,Apr,26
2017,May,46
2017,Jun,30
2017,Jul,30
2017,Aug,37
2017,Sep,29
2017,Oct,31
2017,Nov,84
2017,Dec,36
2018,Jan,29
2018,Feb,34
2018,Mar,34
2018,Apr,25
2018,May,22
2018,Jun,28
2018,Jul,26
2018,Aug,26
2018,Sep,26
2018,Oct,21
2018,Nov,37
2018,Dec,28
2019,Jan,20
2019,Feb,35
2019,Mar,19
2019,Apr,18
2019,May,15
2019,Jun,32
2019,Jul,14
2019,Aug,15
2019,Sep,33
2019,Oct,57
2019,Nov,72
2019,Dec,21
2020,Jan,38
2020,Feb,28
2020,Mar,28
2020,Apr,22
2020,May,20
2020,Jun,22
2020,Jul,17
2020,Aug,23
2020,Sep,23
2020,Oct,28
2020,Nov,25
2020,Dec,24
2021,Jan,25
2021,Feb,32
2021,Mar,57
2021,Apr,31
2021,May,44
2021,Jun,26
2021,Jul,22
2021,Aug,34
2021,Sep,25
2021,Oct,37
2021,Nov,22
2021,Dec,21
2022,Jan,31
2022,Feb,58
2022,Mar,58
