Owner:,CLEVELAND RUSSELL
Cname:,RENAISSANCE CAPITAL GRO&INCM F
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,10
2004,Feb,29
2004,Mar,12
2004,Apr,19
2004,May,0
2004,Jun,17
2004,Jul,18
2004,Aug,8
2004,Sep,8
2004,Oct,32
2004,Nov,33
2004,Dec,7
2005,Jan,13
2005,Feb,40
2005,Mar,17
2005,Apr,13
2005,May,18
2005,Jun,12
2005,Jul,35
2005,Aug,22
2005,Sep,15
2005,Oct,19
2005,Nov,15
2005,Dec,33
2006,Jan,17
2006,Feb,17
2006,Mar,27
2006,Apr,12
2006,May,0
2006,Jun,20
2006,Jul,12
2006,Aug,21
2006,Sep,14
2006,Oct,20
2006,Nov,20
2006,Dec,23
2007,Jan,17
2007,Feb,12
2007,Mar,22
2007,Apr,17
2007,May,15
2007,Jun,30
2007,Jul,10
2007,Aug,19
2007,Sep,5
2007,Oct,11
2007,Nov,18
2007,Dec,9
2008,Jan,16
2008,Feb,14
2008,Mar,22
2008,Apr,12
2008,May,22
2008,Jun,11
2008,Jul,16
2008,Aug,14
2008,Sep,13
2008,Oct,17
2008,Nov,21
2008,Dec,19
2009,Jan,10
2009,Feb,9
2009,Mar,13
2009,Apr,18
2009,May,26
2009,Jun,17
2009,Jul,10
2009,Aug,12
2009,Sep,21
2009,Oct,14
2009,Nov,16
2009,Dec,12
2010,Jan,16
2010,Feb,13
2010,Mar,22
2010,Apr,31
2010,May,18
2010,Jun,12
2010,Jul,14
2010,Aug,10
2010,Sep,13
2010,Oct,5
2010,Nov,10
2010,Dec,11
2011,Jan,12
2011,Feb,21
2011,Mar,17
2011,Apr,18
2011,May,14
2011,Jun,19
2011,Jul,16
2011,Aug,17
2011,Sep,22
2011,Oct,9
2011,Nov,16
2011,Dec,22
2012,Jan,19
2012,Feb,19
2012,Mar,15
2012,Apr,26
2012,May,16
2012,Jun,21
2012,Jul,12
2012,Aug,16
2012,Sep,19
2012,Oct,19
2012,Nov,21
2012,Dec,24
2013,Jan,20
2013,Feb,23
2013,Mar,17
2013,Apr,21
2013,May,27
2013,Jun,20
2013,Jul,22
2013,Aug,16
2013,Sep,16
2013,Oct,20
2013,Nov,13
2013,Dec,15
2014,Jan,24
2014,Feb,20
2014,Mar,24
2014,Apr,20
2014,May,22
2014,Jun,22
2014,Jul,29
2014,Aug,23
2014,Sep,20
2014,Oct,24
2014,Nov,24
2014,Dec,30
2015,Jan,24
2015,Feb,25
2015,Mar,22
2015,Apr,32
2015,May,64
2015,Jun,32
2015,Jul,20
2015,Aug,19
2015,Sep,22
2015,Oct,15
2015,Nov,16
2015,Dec,30
2016,Jan,26
2016,Feb,20
2016,Mar,22
2016,Apr,27
2016,May,56
2016,Jun,49
2016,Jul,100
2016,Aug,24
2016,Sep,22
2016,Oct,38
2016,Nov,43
2016,Dec,36
2017,Jan,30
2017,Feb,29
2017,Mar,36
2017,Apr,42
2017,May,24
2017,Jun,62
2017,Jul,31
2017,Aug,24
2017,Sep,28
2017,Oct,24
2017,Nov,29
2017,Dec,23
2018,Jan,30
2018,Feb,41
2018,Mar,27
2018,Apr,41
2018,May,25
2018,Jun,26
2018,Jul,17
2018,Aug,15
2018,Sep,19
2018,Oct,18
2018,Nov,23
2018,Dec,29
2019,Jan,16
2019,Feb,18
2019,Mar,19
2019,Apr,22
2019,May,17
2019,Jun,18
2019,Jul,37
2019,Aug,19
2019,Sep,20
2019,Oct,26
2019,Nov,19
2019,Dec,19
2020,Jan,20
2020,Feb,15
2020,Mar,7
2020,Apr,14
2020,May,9
2020,Jun,14
2020,Jul,16
2020,Aug,14
2020,Sep,18
2020,Oct,13
2020,Nov,18
2020,Dec,22
2021,Jan,20
