Owner:,WILLIAMS DAVID G
Cname:,HUMATECH INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,39
2004,Feb,38
2004,Mar,48
2004,Apr,0
2004,May,67
2004,Jun,0
2004,Jul,0
2004,Aug,32
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,29
2005,Jan,100
2005,Feb,0
2005,Mar,22
2005,Apr,26
2005,May,69
2005,Jun,0
2005,Jul,0
2005,Aug,22
2005,Sep,0
2005,Oct,0
2005,Nov,19
2005,Dec,37
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,16
2006,May,15
2006,Jun,32
2006,Jul,31
2006,Aug,14
2006,Sep,0
2006,Oct,13
2006,Nov,0
2006,Dec,39
2007,Jan,0
2007,Feb,12
2007,Mar,11
2007,Apr,11
2007,May,10
2007,Jun,11
2007,Jul,10
2007,Aug,10
2007,Sep,19
2007,Oct,34
2007,Nov,0
2007,Dec,0
2008,Jan,31
2008,Feb,16
2008,Mar,24
2008,Apr,23
2008,May,16
2008,Jun,25
2008,Jul,16
2008,Aug,40
2008,Sep,15
2008,Oct,27
2008,Nov,22
2008,Dec,0
2009,Jan,21
2009,Feb,7
2009,Mar,0
2009,Apr,13
2009,May,0
2009,Jun,27
2009,Jul,13
2009,Aug,0
2009,Sep,13
2009,Oct,6
2009,Nov,24
2009,Dec,6
2010,Jan,6
2010,Feb,6
2010,Mar,0
2010,Apr,16
2010,May,17
2010,Jun,6
2010,Jul,30
2010,Aug,19
2010,Sep,5
2010,Oct,0
2010,Nov,0
2010,Dec,22
2011,Jan,0
2011,Feb,7
2011,Mar,7
2011,Apr,11
2011,May,14
2011,Jun,14
2011,Jul,3
2011,Aug,6
2011,Sep,10
2011,Oct,6
2011,Nov,3
2011,Dec,18
2012,Jan,6
2012,Feb,3
2012,Mar,8
2012,Apr,20
2012,May,3
2012,Jun,11
2012,Jul,0
2012,Aug,13
2012,Sep,3
2012,Oct,10
2012,Nov,8
2012,Dec,5
2013,Jan,0
2013,Feb,5
2013,Mar,11
2013,Apr,7
2013,May,2
2013,Jun,7
2013,Jul,7
2013,Aug,5
2013,Sep,4
2013,Oct,2
2013,Nov,7
2013,Dec,4
2014,Jan,6
2014,Feb,9
2014,Mar,4
2014,Apr,9
2014,May,7
2014,Jun,8
2014,Jul,2
2014,Aug,7
2014,Sep,5
2014,Oct,2
2014,Nov,0
2014,Dec,7
2015,Jan,0
2015,Feb,7
2015,Mar,7
2015,Apr,7
2015,May,2
2015,Jun,8
2015,Jul,0
2015,Aug,7
2015,Sep,2
2015,Oct,2
2015,Nov,0
2015,Dec,2
2016,Jan,9
2016,Feb,5
2016,Mar,0
2016,Apr,3
2016,May,2
2016,Jun,4
2016,Jul,7
2016,Aug,0
2016,Sep,2
2016,Oct,3
2016,Nov,0
2016,Dec,2
2017,Jan,8
2017,Feb,5
2017,Mar,3
2017,Apr,5
2017,May,8
2017,Jun,0
2017,Jul,9
2017,Aug,10
2017,Sep,11
2017,Oct,2
2017,Nov,6
2017,Dec,3
2018,Jan,3
2018,Feb,3
2018,Mar,5
2018,Apr,0
2018,May,2
2018,Jun,2
2018,Jul,5
2018,Aug,8
2018,Sep,6
2018,Oct,8
2018,Nov,9
2018,Dec,6
2019,Jan,3
2019,Feb,8
2019,Mar,6
2019,Apr,6
2019,May,5
2019,Jun,6
2019,Jul,6
2019,Aug,0
2019,Sep,3
2019,Oct,6
2019,Nov,0
2019,Dec,1
2020,Jan,1
2020,Feb,4
2020,Mar,2
2020,Apr,4
2020,May,2
2020,Jun,1
2020,Jul,4
2020,Aug,4
2020,Sep,9
2020,Oct,7
2020,Nov,3
2020,Dec,3
2021,Jan,0
